%%
%% Arena Persona Fragments
%%
%%	This file contains persona fragments needed by the mecha arenas.
%%	Mostly this is for the managers.

%% TYPE: *RejectChallenge
%%	The PC has told the NPC that he isn't ready to fight yet. The NPC will reply.

	Persona
	requires <*RejectChallenge>
	START <NewChat Say %id%01>
	Msg%id%01 <Come back when you're ready, then.>
	Msg%id%01_1 <It's always best to make sure everything is in order before you enter the arena. I'll take this opportunity to go over my own stuff, too.>
	CMsg%id%01_1 <ifNPCSociable Accept>
	Msg%id%01_2 <Let me know when you're ready.>
	CMsg%id%01_2 <ifNPCShy Accept>
	Msg%id%01_3 <No worries. Get back to me when you're ready to go.>
	CMsg%id%01_3 <ifNPCEasygoing Accept>
	Msg%id%01_4 <What's the matter, you don't have the nerve to face me? Ha!>
	CMsg%id%01_4 <ifNPCPassionate Accept>
	Msg%id%01_5 <I'm looking forward to starting the fight!>
	CMsg%id%01_5 <ifNPCCheerful Accept>
	Msg%id%01_6 <Do you need to prepare for this fight, or are you simply afraid? I wonder...>
	CMsg%id%01_6 <ifNPCMelancholy Accept>

%% TYPE: *ChallengerStatusReport
%%	The PC is supposed to fight NPC1; the arena manager will tell him the current status
%%	of things. This procedure checks for lost battles, proceeding battles, and the death
%%	of the NPC.
%%  PARAM1: CID of the challenger
%%  PARAM2: ID of the arena
%%  PARAM3: Challenger died exit label

	Persona
	requires <*ChallengerStatusReport>
	START <if= ArenaState %2% NAV_AS_Loss else .%id%_GoCheckAnything NewChat Say %id%01 ResetArena %2%>
	.%id%_GoCheckAnything <if# ArenaState %2% NAV_AS_Vacant else .%id%_GoCheckEligibility NewChat Say %id%02>
	.%id%_GoCheckEligibility <ifNPCOK %1% else %3% NewChat Say %id%03>
	Msg%id%01 <\PERSONA %1% defeated you in the arena. Try challenging \OPR %1% again later; you can't advance in the competition until you defeat \OPR %1% .>
	Msg%id%02 <You're supposed to fight \PERSONA %1% in the arena. Get over there and do something!>
	Msg%id%03 <You can't advance in the competition until after you defeat \PERSONA %1% .>


%% TYPE: *YourChallengerDied
%%	The challenger the PC was supposed to fight has died, making that fight impossible.
%%	This pfrag will instead set up a generic encounter at the arena, and cancel the
%%	challenger quest. The PC will be jumped directly to the arena.
%%  PARAM1: ID of the arena
%%  PARAM2: QID of subquest

	Persona
	requires <*YourChallengerDied>
	START <NewChat Say %id%01 SavePos PrepArena %1% 150 Jump %1% CancelSubPlot %2%>
	Msg%id%01 <You were supposed to face a special opponent, but that's not going to happen. Instead you'll just have a regular fight... Come talk to me when you're done.>
	Msg%id%01_1 <Did you hear that one of our pilots has died? This is a dangerous business... The challenge match you were supposed to have has been cancelled; instead you'll just fight a normal one.>
	CMsg%id%01_1 <ifNPCSociable Accept>
	Msg%id%01_2 <Good luck.>
	CMsg%id%01_2 <ifNPCShy Accept>
	Msg%id%01_3 <There's been a problem with the arena schedule, but fortunately it doesn't affect you. Good luck on the field.>
	CMsg%id%01_3 <ifNPCEasygoing Accept>
	Msg%id%01_4 <Being an arena pilot is dangerous. The person you were supposed to battle today has died. In place of the special match, we'll just run a normal fight.>
	CMsg%id%01_4 <ifNPCPassionate Accept>
